rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout,late,rented_again
535544,404102,mobile,ended,114.0,,,Late 60-120 min,come later,Parking
535776,356607,mobile,ended,6.0,,,Late under 30 min,come later,Parking
535890,394272,mobile,ended,23.0,,,Late under 30 min,come later,Parking
536122,348840,mobile,ended,180.0,,,Late more than 180 min,come later,Parking
536162,390073,connect,ended,4.0,,,Late under 30 min,come later,Parking
536306,406806,mobile,ended,,,,Early,come earlier,Parking
536315,369230,mobile,ended,-191.0,536343.0,720.0,Early,come earlier,rented again
536317,407820,mobile,ended,,,,Early,come earlier,Parking
536501,407632,mobile,ended,45.0,,,Late 30-60 min,come later,Parking
536523,374626,mobile,ended,68.0,,,Late 60-120 min,come later,Parking
536678,265546,mobile,ended,193.0,,,Late more than 180 min,come later,Parking
536710,375958,mobile,ended,-77.0,,,Early,come earlier,Parking
536810,293464,mobile,ended,162.0,,,Late 120-180 min,come later,Parking
536920,375389,mobile,canceled,,,,Early,come earlier,Parking
536967,403794,mobile,ended,1195.0,,,Late more than 180 min,come later,Parking
537074,380813,mobile,ended,-1.0,,,Early,come earlier,Parking
537077,382013,mobile,ended,20.0,,,Late under 30 min,come later,Parking
537174,350873,connect,ended,-15.0,,,Early,come earlier,Parking
537183,406984,mobile,canceled,,538569.0,60.0,Early,come earlier,rented again
537188,266641,mobile,ended,-1.0,,,Early,come earlier,Parking
537194,397046,mobile,ended,189.0,,,Late more than 180 min,come later,Parking
537224,407620,mobile,ended,-494.0,,,Early,come earlier,Parking
537237,289112,connect,ended,-21.0,,,Early,come earlier,Parking
537336,368090,mobile,ended,-950.0,,,Early,come earlier,Parking
537421,317303,mobile,ended,-8.0,,,Early,come earlier,Parking
537425,317806,mobile,ended,,,,Early,come earlier,Parking
537475,331336,mobile,ended,524.0,,,Late more than 180 min,come later,Parking
537683,391618,connect,ended,54.0,549289.0,60.0,Late 30-60 min,come later,rented again
537704,357530,connect,ended,-116.0,,,Early,come earlier,Parking
537737,382968,mobile,ended,51.0,538666.0,150.0,Late 30-60 min,come later,rented again
537766,208090,mobile,canceled,,,,Early,come earlier,Parking
537824,203653,mobile,ended,79.0,,,Late 60-120 min,come later,Parking
537826,400039,mobile,ended,25.0,,,Late under 30 min,come later,Parking
537860,408893,mobile,ended,-69.0,,,Early,come earlier,Parking
537915,309681,mobile,canceled,,,,Early,come earlier,Parking
537940,402567,mobile,ended,2.0,,,Late under 30 min,come later,Parking
538244,347208,connect,ended,23.0,,,Late under 30 min,come later,Parking
538288,392931,mobile,ended,-3.0,,,Early,come earlier,Parking
538540,271380,mobile,ended,91.0,,,Late 60-120 min,come later,Parking
538544,357860,connect,ended,186.0,,,Late more than 180 min,come later,Parking
538611,338947,connect,ended,-972.0,,,Early,come earlier,Parking
538713,381481,mobile,ended,4.0,,,Late under 30 min,come later,Parking
538797,279392,mobile,ended,-23.0,,,Early,come earlier,Parking
538804,375307,mobile,ended,477.0,,,Late more than 180 min,come later,Parking
538847,407726,mobile,ended,-18.0,,,Early,come earlier,Parking
538875,334190,connect,ended,-875.0,543805.0,0.0,Early,come earlier,rented again
539162,174097,mobile,canceled,,,,Early,come earlier,Parking
539253,334510,mobile,ended,-43.0,,,Early,come earlier,Parking
539288,377219,connect,ended,-188.0,,,Early,come earlier,Parking
539367,380345,mobile,ended,19.0,,,Late under 30 min,come later,Parking
539386,363702,mobile,ended,42.0,,,Late 30-60 min,come later,Parking
539402,309965,mobile,canceled,,,,Early,come earlier,Parking
539431,407794,mobile,ended,-51.0,,,Early,come earlier,Parking
539642,396000,mobile,ended,10323.0,,,Late more than 180 min,come later,Parking
539698,294230,mobile,ended,-124.0,,,Early,come earlier,Parking
544322,381754,mobile,ended,-293.0,,,Early,come earlier,Parking
544377,365926,connect,ended,19.0,,,Late under 30 min,come later,Parking
544531,310383,mobile,ended,-8.0,,,Early,come earlier,Parking
544593,364160,connect,ended,-141.0,,,Early,come earlier,Parking
544621,406629,mobile,ended,16.0,,,Late under 30 min,come later,Parking
544722,366981,connect,ended,-822.0,,,Early,come earlier,Parking
544969,387284,mobile,ended,-29.0,,,Early,come earlier,Parking
545002,370656,mobile,ended,26.0,,,Late under 30 min,come later,Parking
545107,373605,mobile,ended,2.0,,,Late under 30 min,come later,Parking
545232,404774,mobile,ended,63.0,,,Late 60-120 min,come later,Parking
545388,296633,mobile,ended,10.0,,,Late under 30 min,come later,Parking
545517,344303,mobile,ended,12.0,,,Late under 30 min,come later,Parking
545551,388466,mobile,ended,-120.0,556990.0,180.0,Early,come earlier,rented again
545609,280593,mobile,canceled,,,,Early,come earlier,Parking
545632,407524,mobile,ended,32.0,,,Late 30-60 min,come later,Parking
545827,299776,mobile,ended,-81.0,,,Early,come earlier,Parking
545840,224218,mobile,ended,20.0,,,Late under 30 min,come later,Parking
545852,389219,mobile,ended,-6.0,,,Early,come earlier,Parking
545855,380886,mobile,ended,74.0,,,Late 60-120 min,come later,Parking
545952,366983,connect,ended,40.0,,,Late 30-60 min,come later,Parking
546275,394656,connect,ended,-663.0,,,Early,come earlier,Parking
546331,362595,mobile,ended,7.0,,,Late under 30 min,come later,Parking
546345,159536,mobile,ended,122.0,,,Late 120-180 min,come later,Parking
546399,410594,mobile,ended,,,,Early,come earlier,Parking
546462,312716,mobile,ended,-4.0,,,Early,come earlier,Parking
546475,370513,mobile,canceled,,,,Early,come earlier,Parking
546644,380019,mobile,ended,84.0,,,Late 60-120 min,come later,Parking
546646,389498,mobile,ended,33.0,,,Late 30-60 min,come later,Parking
546668,352663,mobile,ended,,,,Early,come earlier,Parking
552707,300505,connect,ended,-92.0,,,Early,come earlier,Parking
552896,389395,mobile,ended,-9.0,,,Early,come earlier,Parking
553172,366251,mobile,canceled,,,,Early,come earlier,Parking
553183,278254,mobile,ended,-98.0,,,Early,come earlier,Parking
553369,337414,connect,ended,267.0,,,Late more than 180 min,come later,Parking
553372,344576,mobile,ended,224.0,,,Late more than 180 min,come later,Parking
